empresa_id,empresa_nome,estado,setor,porte_empresa,quantidade_funcionarios,turnover_percentual,media_horas_extras,indice_absenteismo,possui_compliance,possui_treinamento_assedio,indice_satisfacao,salario_medio
1,Souza - EI,BA,Comércio,Pequeno,75,11.33,3.07,5.41,Não,Sim,7.2,5639
2,Peixoto,PR,Indústria,Pequeno,78,3.26,10.63,8.99,Sim,Sim,6.4,7189
3,da Cruz - EI,MG,Construção,Grande,4505,2.01,24.95,6.66,Sim,Sim,6.9,4594
4,Barbosa Moura - ME,BA,Serviços,Pequeno,11,1.88,23.24,5.83,Sim,Sim,5.7,5437
5,da Rocha Ltda.,BA,Comércio,Médio,246,2.57,10.01,3.34,Sim,Sim,7.2,6921
6,Pastor,RJ,Comércio,Grande,4914,17.63,6.89,6.71,Sim,Sim,4.9,3940
7,Nunes Aparecida Ltda.,SP,Logística,Grande,4904,1.51,17.21,6.62,Sim,Sim,8.5,3155
8,Santos,BA,Indústria,Grande,596,10.2,28.85,10.32,Sim,Não,9.3,2911
9,Melo,PR,Indústria,Grande,4586,14.66,4.85,11.94,Sim,Sim,5.5,3872
10,Porto,SP,TI,Médio,337,11.6,15.0,5.94,Sim,Sim,4.1,12835
11,Rocha Marques S.A.,PR,TI,Pequeno,39,19.0,24.93,10.2,Sim,Sim,8.5,11431
12,Ramos - ME,SC,Logística,Pequeno,43,21.23,25.86,11.02,Sim,Sim,6.4,4625
13,Azevedo,BA,Comércio,Grande,538,15.77,21.53,6.24,Não,Sim,8.4,4233
14,Alves - EI,PE,TI,Grande,1717,2.7,5.66,10.45,Sim,Sim,6.8,12844
15,da Mota,SP,Logística,Pequeno,29,3.17,3.16,4.03,Sim,Sim,5.0,6181
16,Abreu,RJ,Serviços,Médio,434,20.12,20.05,7.1,Não,Não,7.5,6487
17,Sales,SC,TI,Médio,486,22.08,15.79,11.99,Não,Sim,8.0,6206
18,Aparecida,RS,Construção,Médio,131,7.38,4.33,5.38,Sim,Sim,4.5,4844
19,Nogueira Sá - ME,SC,TI,Médio,483,22.56,6.28,1.75,Não,Sim,6.1,5422
20,Santos Campos - EI,BA,Comércio,Médio,234,24.46,2.35,9.08,Sim,Sim,6.8,5687
21,Vasconcelos,PR,TI,Grande,3218,9.61,21.04,6.21,Sim,Sim,4.9,12755
22,Jesus S.A.,RS,Indústria,Pequeno,96,13.54,7.02,4.03,Não,Sim,9.6,7330
23,Farias - EI,PE,TI,Médio,195,13.14,18.67,9.45,Sim,Sim,4.5,9263
24,Vargas Ltda.,RS,Indústria,Médio,265,12.44,7.15,5.62,Sim,Sim,9.7,4052
25,Ramos,BA,TI,Médio,477,11.25,21.14,10.17,Sim,Sim,7.2,5943
26,Abreu Jesus S/A,PE,Logística,Grande,2219,11.37,23.03,10.59,Sim,Sim,9.6,3259
27,Ramos Ltda.,BA,Indústria,Médio,452,8.11,18.09,5.23,Sim,Sim,5.7,4298
28,Machado,RJ,Construção,Grande,683,12.49,26.46,6.79,Não,Não,7.8,4417
29,Borges,SP,TI,Médio,300,22.08,14.64,1.53,Sim,Sim,6.7,13912
30,Correia - EI,BA,Comércio,Grande,2619,1.59,9.41,4.87,Sim,Não,7.4,7698
31,Monteiro,BA,Logística,Pequeno,23,24.59,12.41,4.84,Sim,Sim,9.5,7318
32,Cassiano Teixeira - ME,BA,Serviços,Pequeno,63,5.94,27.68,1.97,Sim,Sim,6.7,6282
33,Nascimento,RS,Logística,Médio,110,23.21,21.32,6.29,Não,Sim,7.9,5359
34,Aragão S/A,SC,Logística,Pequeno,53,13.28,7.05,10.43,Sim,Sim,8.6,6402
35,Dias,PR,Serviços,Médio,154,5.22,13.07,6.64,Não,Não,4.0,3343
36,Moraes,RS,Logística,Grande,3432,22.19,17.66,4.89,Não,Sim,8.3,6218
37,Rodrigues,RS,TI,Médio,481,15.69,8.1,0.64,Sim,Sim,5.9,7154
38,Oliveira Ramos - EI,SC,Construção,Pequeno,35,17.87,3.21,7.98,Sim,Não,8.1,2879
39,da Paz,PR,Indústria,Médio,272,23.69,14.99,2.1,Sim,Sim,9.1,2744
40,Pires,MG,Serviços,Pequeno,23,9.81,19.79,10.17,Sim,Sim,5.4,6317
41,Freitas,SP,Comércio,Médio,442,4.65,19.66,9.58,Não,Sim,9.8,2773
42,Mendonça,RS,Logística,Médio,436,11.99,17.38,4.33,Não,Sim,7.3,4302
43,Vieira,MG,TI,Grande,3301,9.23,13.81,4.14,Sim,Sim,7.6,6271
44,Guerra,BA,Indústria,Pequeno,77,16.64,19.34,3.67,Sim,Não,8.5,6427
45,Nunes Vasconcelos S.A.,PE,Indústria,Grande,2165,21.94,24.23,0.26,Sim,Não,6.2,7559
46,Alves Dias S.A.,RS,Serviços,Grande,1932,2.98,17.65,11.75,Sim,Sim,8.0,3904
47,Camargo,RJ,Construção,Médio,320,18.77,22.24,9.1,Não,Sim,5.2,3125
48,Ribeiro Ltda.,PE,TI,Grande,3414,8.61,0.43,1.52,Não,Sim,9.6,9444
49,Ferreira,PE,TI,Pequeno,61,11.14,26.37,6.67,Sim,Sim,5.4,7322
50,Rocha,MG,Construção,Pequeno,15,4.46,1.25,3.84,Não,Não,7.6,2437
51,Farias,RJ,TI,Pequeno,33,13.6,7.83,7.61,Sim,Sim,5.7,7577
52,Albuquerque,RJ,Construção,Grande,940,20.29,21.66,4.81,Sim,Sim,9.5,2560
53,Gonçalves,RS,Logística,Médio,416,18.99,28.15,9.48,Não,Sim,7.1,7943
54,Casa Grande,RJ,Logística,Médio,495,16.76,18.54,3.95,Não,Sim,9.4,6052
55,Machado,PR,Indústria,Médio,331,13.14,17.55,9.75,Sim,Não,4.4,7574
56,da Mata,SC,TI,Médio,260,10.97,1.84,10.21,Sim,Sim,6.1,11879
57,Porto,PE,Construção,Pequeno,62,6.76,4.45,6.19,Não,Sim,8.7,2713
58,Rezende Ltda.,RS,TI,Pequeno,39,15.37,27.71,6.57,Não,Sim,7.5,7051
59,Viana Abreu - ME,RS,Indústria,Grande,2516,2.83,28.56,8.74,Sim,Não,6.3,6408
60,Novais,MG,Comércio,Grande,4925,11.19,10.47,2.98,Sim,Não,8.0,6072
61,Lopes Lopes - EI,RS,Construção,Grande,1778,2.77,16.36,6.65,Sim,Sim,6.6,2991
62,Pereira,SP,Construção,Médio,478,15.8,27.51,1.41,Não,Sim,7.7,3373
63,Santos Melo e Filhos,RS,Serviços,Pequeno,46,10.88,0.53,6.39,Sim,Sim,9.7,2620
64,Brito,BA,Construção,Pequeno,16,13.77,15.5,3.47,Não,Sim,4.7,4561
65,Montenegro,RS,Serviços,Pequeno,99,3.87,9.58,0.33,Sim,Sim,4.4,2606
66,Pereira S.A.,RS,Indústria,Pequeno,72,3.14,21.41,3.27,Sim,Sim,5.9,5939
67,Silva,RS,Indústria,Médio,400,5.55,14.56,11.09,Sim,Sim,7.0,4294
68,Peixoto - EI,RS,Comércio,Pequeno,13,5.61,8.04,8.91,Sim,Não,8.4,7269
69,Porto Ltda.,RS,Construção,Pequeno,83,4.34,11.65,11.27,Não,Sim,5.5,3461
70,Montenegro Andrade - EI,RJ,Logística,Pequeno,64,8.38,8.39,4.29,Não,Não,5.2,4054
71,Nascimento,SP,Comércio,Médio,284,10.96,19.43,7.6,Não,Sim,9.6,7368
72,Duarte Ltda.,PE,Indústria,Médio,210,8.71,11.3,1.3,Sim,Sim,6.1,4622
73,Lopes,MG,Construção,Médio,495,11.33,0.39,6.43,Não,Não,9.1,3259
74,Sales - ME,SP,Comércio,Médio,184,21.16,16.13,2.36,Não,Sim,9.9,2523
75,Brito,MG,Serviços,Grande,947,13.03,2.04,1.86,Sim,Sim,9.0,6156
76,Fernandes - ME,PE,TI,Pequeno,57,15.14,15.7,0.64,Sim,Não,9.1,14732
77,Pinto Vargas S/A,SP,Serviços,Pequeno,90,17.15,13.51,5.67,Sim,Sim,8.0,3309
78,Carvalho,BA,Serviços,Médio,426,18.58,29.77,0.48,Sim,Não,7.7,6522
79,Duarte S.A.,SP,Comércio,Grande,546,11.45,2.65,4.76,Não,Sim,7.7,4444
80,Cunha,PE,TI,Médio,424,11.2,9.04,3.97,Sim,Sim,4.5,14487
81,Vieira Ltda.,SP,Serviços,Pequeno,82,15.36,12.51,0.37,Sim,Sim,7.1,6021
82,Macedo Borges S/A,RJ,Indústria,Médio,193,16.95,14.06,5.79,Sim,Não,9.3,3911
83,Macedo Costela - EI,SC,TI,Médio,482,5.36,19.17,10.0,Não,Sim,8.2,11178
84,Rios - ME,MG,Construção,Médio,255,20.08,14.26,1.66,Sim,Não,7.0,4048
85,Campos - EI,PR,Indústria,Grande,2326,19.29,14.66,11.08,Não,Sim,4.5,4407
86,Rocha Aparecida S.A.,MG,Logística,Pequeno,79,5.4,8.14,0.49,Sim,Sim,6.4,7415
87,Porto Brito S/A,PE,Serviços,Grande,2792,2.49,6.75,8.85,Sim,Sim,7.2,5009
88,Albuquerque S/A,RS,Serviços,Médio,339,24.83,17.38,10.96,Sim,Sim,4.2,4922
89,Macedo,RJ,Logística,Médio,170,2.39,23.04,8.03,Não,Sim,7.2,3978
90,Sampaio Andrade - ME,MG,Serviços,Médio,410,1.27,8.99,6.13,Sim,Sim,8.2,3762
91,Barros,SP,Construção,Grande,3889,24.02,25.52,3.32,Sim,Não,4.7,4370
92,Cavalcanti S.A.,MG,Logística,Médio,403,15.82,1.07,10.34,Não,Sim,6.4,2755
93,Santos Machado - ME,RS,Indústria,Grande,3770,17.16,4.02,4.2,Sim,Não,9.1,6623
94,Costela - ME,PR,TI,Grande,973,2.55,26.19,3.78,Sim,Não,4.6,10649
95,Monteiro Ltda.,MG,Comércio,Pequeno,38,22.2,26.39,10.34,Não,Sim,6.7,5864
96,Porto - ME,PR,Comércio,Médio,421,16.45,17.99,3.73,Sim,Sim,5.9,5814
97,Cardoso S.A.,SP,Comércio,Pequeno,75,20.03,19.42,8.24,Sim,Sim,7.6,4407
98,Montenegro,RS,Serviços,Pequeno,92,8.41,6.28,3.37,Não,Sim,6.0,5175
99,Alves,BA,Comércio,Médio,468,13.75,19.48,1.54,Não,Sim,7.5,4248
100,Albuquerque,RS,Serviços,Grande,4917,2.52,23.27,11.21,Sim,Não,6.9,5352
