id_acao,empresa_id,data_ajuizamento,tipo_contratacao,causa_principal,valor_acao,houve_acordo,resultado_final,tempo_empresa_colaborador,afastamento_previo
1,18,2024-12-07,Estágio,FGTS,10896.07,Sim,Arquivada (acordo),7.2,Não
2,71,2026-02-20,Estágio,Assédio Sexual,13522.05,Sim,Improcedente,2.1,Sim
3,54,2023-12-10,PJ,Assédio Moral,43377.07,Sim,Arquivada (acordo),13.3,Não
4,43,2025-05-18,PJ,Assédio Moral,8802.63,Sim,Improcedente,12.4,Não
5,84,2026-02-16,CLT,Acidente de Trabalho,32553.04,Sim,Procedente,14.5,Não
6,36,2025-06-10,CLT,Assédio Sexual,25677.54,Sim,Arquivada (acordo),12.0,Não
7,50,2024-02-10,Estágio,Assédio Moral,19902.5,Sim,Parcialmente procedente,12.1,Sim
8,49,2023-12-07,CLT,Equiparação Salarial,48233.68,Sim,Procedente,14.8,Sim
9,100,2025-06-15,Terceirizado,Vínculo Empregatício,38006.57,Sim,Arquivada (acordo),4.5,Sim
10,15,2024-09-19,Estágio,Assédio Moral,16877.02,Sim,Procedente,3.4,Não
11,80,2024-09-28,Estágio,Horas Extras,29603.72,Não,Procedente,9.3,Sim
12,60,2025-07-02,Terceirizado,Assédio Sexual,37005.61,Sim,Parcialmente procedente,0.9,Não
13,58,2024-03-23,CLT,Assédio Moral,26656.11,Sim,Parcialmente procedente,0.7,Sim
14,97,2023-06-05,Estágio,Vínculo Empregatício,71067.07,Não,Arquivada (acordo),3.4,Não
15,82,2024-08-29,CLT,Acidente de Trabalho,36905.52,Não,Parcialmente procedente,12.9,Sim
16,52,2025-01-25,Estágio,Vínculo Empregatício,41591.18,Sim,Improcedente,3.2,Não
17,19,2025-08-17,Terceirizado,Horas Extras,38175.18,Sim,Procedente,10.3,Não
18,78,2025-08-18,CLT,Assédio Sexual,18374.57,Sim,Parcialmente procedente,2.7,Não
19,95,2024-04-01,Terceirizado,Assédio Moral,24786.47,Sim,Arquivada (acordo),13.9,Sim
20,56,2024-03-03,Estágio,Horas Extras,35953.92,Sim,Procedente,9.4,Sim
21,50,2023-06-27,CLT,Verbas Rescisórias,41146.76,Sim,Improcedente,12.4,Não
22,19,2023-12-06,CLT,Assédio Moral,13410.04,Não,Procedente,6.6,Sim
23,40,2025-08-27,Terceirizado,Equiparação Salarial,46135.59,Sim,Parcialmente procedente,13.4,Sim
24,27,2023-11-27,PJ,Assédio Moral,8352.35,Sim,Parcialmente procedente,8.6,Sim
25,76,2025-04-23,CLT,Assédio Moral,7515.96,Sim,Arquivada (acordo),4.1,Sim
26,45,2025-07-13,Terceirizado,Equiparação Salarial,66154.32,Sim,Arquivada (acordo),14.9,Sim
27,26,2024-10-26,Terceirizado,Assédio Sexual,68504.84,Sim,Parcialmente procedente,2.9,Sim
28,23,2024-01-22,PJ,Assédio Moral,54782.26,Não,Parcialmente procedente,4.5,Sim
29,73,2023-07-14,CLT,Assédio Moral,52759.17,Sim,Arquivada (acordo),10.8,Não
30,69,2026-05-15,Estágio,Verbas Rescisórias,31824.41,Sim,Improcedente,5.6,Sim
31,91,2023-09-20,CLT,Verbas Rescisórias,43325.67,Não,Procedente,12.0,Não
32,59,2024-06-04,Terceirizado,FGTS,59127.42,Não,Parcialmente procedente,9.9,Sim
33,11,2023-10-13,PJ,Verbas Rescisórias,42808.87,Sim,Improcedente,1.4,Não
34,14,2025-12-23,CLT,FGTS,57946.42,Não,Improcedente,3.1,Não
35,96,2025-05-31,PJ,Verbas Rescisórias,70218.32,Sim,Arquivada (acordo),12.9,Sim
36,75,2024-06-28,CLT,Acidente de Trabalho,59148.44,Não,Procedente,2.7,Não
37,32,2024-01-21,PJ,Assédio Moral,38954.43,Não,Procedente,8.0,Sim
38,44,2023-08-04,Estágio,Assédio Moral,13987.4,Sim,Improcedente,10.6,Não
39,57,2024-04-30,CLT,Assédio Moral,16317.57,Sim,Improcedente,6.7,Sim
40,39,2024-11-02,CLT,Vínculo Empregatício,75460.12,Não,Parcialmente procedente,3.9,Não
41,16,2024-11-28,Terceirizado,Vínculo Empregatício,52858.46,Sim,Parcialmente procedente,14.0,Sim
42,94,2025-08-23,Terceirizado,Verbas Rescisórias,33234.84,Sim,Improcedente,5.8,Não
43,57,2025-01-17,Estágio,Horas Extras,13709.6,Sim,Improcedente,14.9,Sim
44,55,2024-09-25,CLT,Horas Extras,7275.97,Sim,Procedente,0.6,Não
45,30,2024-07-18,Terceirizado,Verbas Rescisórias,69268.76,Não,Improcedente,10.4,Sim
46,3,2023-06-29,Estágio,Acidente de Trabalho,36831.82,Sim,Improcedente,6.5,Não
47,97,2025-12-01,CLT,Verbas Rescisórias,9433.11,Sim,Improcedente,7.6,Não
48,56,2026-02-12,Terceirizado,Verbas Rescisórias,74104.46,Sim,Arquivada (acordo),13.6,Sim
49,31,2025-12-10,Estágio,Horas Extras,79628.4,Sim,Parcialmente procedente,1.2,Sim
50,52,2026-04-01,Terceirizado,Acidente de Trabalho,49351.12,Não,Improcedente,1.5,Não
51,89,2026-02-27,Terceirizado,Equiparação Salarial,67733.69,Sim,Arquivada (acordo),2.3,Sim
52,69,2023-06-10,Terceirizado,Assédio Moral,26432.63,Não,Improcedente,6.2,Não
53,71,2025-06-23,Terceirizado,Equiparação Salarial,39395.34,Sim,Procedente,8.9,Não
54,42,2025-04-11,PJ,Horas Extras,38715.83,Sim,Procedente,3.0,Sim
55,33,2023-10-21,Terceirizado,FGTS,79089.59,Não,Arquivada (acordo),2.6,Sim
56,22,2025-11-12,PJ,Vínculo Empregatício,54024.8,Sim,Arquivada (acordo),2.3,Sim
57,95,2025-01-08,PJ,Assédio Sexual,19015.94,Não,Improcedente,7.1,Não
58,45,2023-07-08,Terceirizado,Assédio Sexual,67350.1,Sim,Parcialmente procedente,7.1,Não
59,43,2025-06-15,Terceirizado,Horas Extras,68817.45,Não,Improcedente,1.5,Sim
60,65,2024-11-02,Estágio,Assédio Sexual,26000.76,Sim,Parcialmente procedente,2.7,Sim
61,1,2023-10-21,PJ,Assédio Moral,50383.29,Sim,Procedente,3.9,Sim
62,83,2026-04-03,Estágio,Assédio Moral,47352.26,Não,Parcialmente procedente,13.4,Não
63,3,2024-01-23,CLT,Horas Extras,18110.71,Não,Parcialmente procedente,4.3,Não
64,44,2025-10-07,Estágio,Horas Extras,25148.17,Sim,Procedente,1.9,Não
65,24,2024-09-08,Estágio,Assédio Sexual,47852.26,Sim,Parcialmente procedente,5.1,Sim
66,93,2025-11-28,Estágio,Horas Extras,38711.17,Não,Improcedente,0.9,Sim
67,17,2024-05-16,PJ,Horas Extras,9375.87,Sim,Parcialmente procedente,14.1,Sim
68,10,2023-11-19,Estágio,Horas Extras,73437.72,Sim,Arquivada (acordo),8.2,Não
69,19,2025-10-09,Estágio,Assédio Sexual,24976.02,Sim,Procedente,14.0,Sim
70,93,2025-12-02,CLT,Equiparação Salarial,16522.68,Sim,Procedente,6.7,Sim
71,49,2024-07-01,Estágio,Assédio Moral,79984.69,Não,Procedente,2.1,Não
72,28,2025-01-23,Terceirizado,Verbas Rescisórias,46630.94,Não,Procedente,5.3,Não
73,31,2024-12-19,Estágio,Vínculo Empregatício,34919.97,Não,Procedente,5.1,Não
74,91,2026-05-22,CLT,Equiparação Salarial,35365.85,Sim,Parcialmente procedente,6.8,Sim
75,23,2026-01-02,CLT,Assédio Moral,19838.25,Sim,Parcialmente procedente,13.7,Sim
76,27,2025-10-23,CLT,Horas Extras,23977.39,Sim,Parcialmente procedente,6.2,Não
77,70,2025-03-12,PJ,Verbas Rescisórias,7281.68,Não,Procedente,9.7,Não
78,73,2024-02-18,CLT,Assédio Sexual,25116.46,Sim,Arquivada (acordo),5.0,Não
79,41,2025-08-06,PJ,Assédio Sexual,21322.12,Sim,Improcedente,14.7,Sim
80,65,2026-02-18,Terceirizado,Verbas Rescisórias,30589.88,Sim,Arquivada (acordo),6.3,Não
81,47,2023-12-18,PJ,Horas Extras,79361.33,Não,Improcedente,12.8,Sim
82,5,2025-11-26,Estágio,Assédio Sexual,53271.62,Sim,Parcialmente procedente,13.5,Sim
83,77,2025-08-24,CLT,FGTS,76281.44,Sim,Procedente,9.2,Não
84,32,2025-05-09,CLT,Assédio Moral,62109.04,Não,Procedente,9.0,Não
85,40,2024-06-12,Terceirizado,Horas Extras,53999.2,Sim,Procedente,10.5,Sim
86,2,2025-06-28,Terceirizado,Horas Extras,7135.74,Sim,Improcedente,3.3,Sim
87,66,2025-02-16,PJ,Equiparação Salarial,65674.33,Não,Parcialmente procedente,14.4,Sim
88,9,2025-04-29,CLT,Verbas Rescisórias,38565.23,Não,Procedente,1.4,Sim
89,65,2024-09-08,Estágio,FGTS,31524.78,Sim,Improcedente,7.1,Sim
90,52,2023-10-03,PJ,Assédio Sexual,73379.35,Sim,Improcedente,9.5,Não
91,94,2025-11-01,CLT,Assédio Sexual,75947.17,Não,Procedente,8.2,Sim
92,54,2023-12-30,Terceirizado,Horas Extras,20793.11,Sim,Parcialmente procedente,14.6,Não
93,63,2023-06-03,PJ,Verbas Rescisórias,21570.98,Não,Improcedente,4.6,Sim
94,91,2026-02-10,PJ,FGTS,77368.63,Sim,Parcialmente procedente,13.6,Sim
95,90,2025-02-07,Terceirizado,Horas Extras,54030.01,Não,Arquivada (acordo),9.6,Não
96,80,2025-02-27,Terceirizado,Horas Extras,37026.77,Não,Procedente,14.5,Sim
97,97,2023-10-08,CLT,Acidente de Trabalho,72341.98,Não,Improcedente,9.5,Sim
98,25,2023-12-02,Terceirizado,Assédio Moral,50985.51,Sim,Improcedente,2.3,Não
99,59,2026-04-07,CLT,Assédio Moral,10926.19,Não,Arquivada (acordo),2.2,Não
100,93,2023-08-16,Terceirizado,Equiparação Salarial,51735.09,Não,Improcedente,5.2,Não
